"STUDYID","DOMAIN","USUBJID","OMSEQ","OMTESTCD","OMTEST","OMORRES","OMORRESU","OMSTRESC","OMSTRESN","OMSTRESU","OMSPEC","OMDTC","OMDY"
"S-00001","OM","S-00001-251","37","OWBW","Organ to Body Weight Ratio","0.0155","%","0.0155","0.0155","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-252","38","OWBW","Organ to Body Weight Ratio","0.0098","%","0.0098","0.0098","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-253","39","OWBW","Organ to Body Weight Ratio","0.0095","%","0.0095","0.0095","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-254","40","OWBW","Organ to Body Weight Ratio","0.0110","%","0.0110","0.011","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-255","41","OWBW","Organ to Body Weight Ratio","0.0126","%","0.0126","0.0126","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-256","42","OWBW","Organ to Body Weight Ratio","0.0117","%","0.0117","0.0117","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-351","43","OWBW","Organ to Body Weight Ratio","0.0088","%","0.0088","0.0088","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-352","44","OWBW","Organ to Body Weight Ratio","0.0114","%","0.0114","0.0114","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-353","45","OWBW","Organ to Body Weight Ratio","0.0105","%","0.0105","0.0105","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-354","46","OWBW","Organ to Body Weight Ratio","0.0092","%","0.0092","0.0092","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-355","47","OWBW","Organ to Body Weight Ratio","0.0086","%","0.0086","0.0086","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-356","48","OWBW","Organ to Body Weight Ratio","0.0110","%","0.0110","0.011","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-451","49","OWBW","Organ to Body Weight Ratio","0.0163","%","0.0163","0.0163","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-452","50","OWBW","Organ to Body Weight Ratio","0.0113","%","0.0113","0.0113","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-453","51","OWBW","Organ to Body Weight Ratio","0.0117","%","0.0117","0.0117","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-454","52","OWBW","Organ to Body Weight Ratio","0.0157","%","0.0157","0.0157","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-455","53","OWBW","Organ to Body Weight Ratio","0.0213","%","0.0213","0.0213","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-456","54","OWBW","Organ to Body Weight Ratio","0.0158","%","0.0158","0.0158","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-09","32"
"S-00001","OM","S-00001-551","55","OWBW","Organ to Body Weight Ratio","0.0047","%","0.0047","0.0047","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-552","56","OWBW","Organ to Body Weight Ratio","0.0054","%","0.0054","0.0054","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-553","57","OWBW","Organ to Body Weight Ratio","0.0047","%","0.0047","0.0047","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-554","58","OWBW","Organ to Body Weight Ratio","0.0103","%","0.0103","0.0103","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-555","59","OWBW","Organ to Body Weight Ratio","0.0141","%","0.0141","0.0141","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
"S-00001","OM","S-00001-556","60","OWBW","Organ to Body Weight Ratio","0.0068","%","0.0068","0.0068","%","GLAND, THYROID/GLAND, PARATHYROID","2018-11-23","46"
